HE 100 AA;91;100;4.2;5.5;12;;;;;;15.6;12.2;236.5;51.98;58.36;3.89;6.15;92.06;18.41;28.44;2.43;29.26;2.51;0.00168;
HE 100 A;96;100;5;8;12;;;;;;21.24;16.7;349.2;72.76;83.01;4.06;7.56;133.8;26.76;41.14;2.51;35.06;5.24;0.00258;
HE 100 B;100;100;6;10;12;;;;;;26.04;20.4;449.5;89.91;104.2;4.16;9.04;167.3;33.45;51.42;2.53;40.06;9.25;0.00338;
HE 100 M;120;106;12;20;12;;;;;;53.24;41.8;1143;190.4;235.8;4.63;18.04;399.2;75.31;116.3;2.74;66.06;68.21;0.00993;
HE 120 AA;109;120;4.2;5.5;12;;;;;;18.55;14.6;413.4;75.85;84.12;4.72;6.9;158.8;26.47;40.62;2.93;29.26;2.78;0.00424;
HE 120 A;114;120;5;8;12;;;;;;25.34;19.9;606.2;106.3;119.5;4.89;8.46;230.9;38.48;58.85;3.02;35.06;5.99;0.00647;
HE 120 B;120;120;6.5;11;12;;;;;;34.01;26.7;864.4;144.1;165.2;5.04;10.96;317.5;52.92;80.97;3.06;42.56;13.84;0.00941;
HE 120 M;140;126;12.5;21;12;;;;;;66.41;52.1;2018;288.2;350.6;5.51;21.15;702.8;111.6;171.6;3.25;68.56;91.66;0.02479;
HE 140 AA;128;140;4.3;6;12;;;;;;23.02;18.1;719.5;112.4;123.8;5.59;7.92;274.8;39.26;59.93;3.45;30.36;3.54;0.01021;
HE 140 A;133;140;5.5;8.5;12;;;;;;31.42;24.7;1033;155.4;173.5;5.73;10.12;389.3;55.62;84.85;3.52;36.56;8.13;0.01506;
HE 140 B;140;140;7;12;12;;;;;;42.96;33.7;1509;215.6;245.4;5.93;13.08;549.7;78.52;119.8;3.58;45.06;20.06;0.02248;
HE 140 M;160;146;13;22;12;;;;;;80.56;63.2;3291;411.4;493.8;6.39;24.46;1144;156.8;240.5;3.77;71.06;120;0.05433;
