HP 200 x 43;200;205;9;9;10;;;;;;54.14;42.5;3888;388.8;434.5;8.47;19.85;1294;126.2;193.4;4.89;38.72;17.68;0.1179;
HP 200 x 53;204;207;11.3;11.3;10;;;;;;68.14;53.5;4977;488;551.3;8.55;24.89;1673;161.7;248.6;4.96;45.62;34.2;0.1551;
HP 250 x 62;246;256;10.5;10.7;13;;;;;;79.82;62.7;8753;711.6;792.8;10.47;28.94;2995;234;358;6.13;47.13;37.02;0.4141;
HP 250 x 85;254;260;14.4;14.4;13;;;;;;108.8;85.4;12305;968.9;1096;10.64;39.7;4225;325;499.9;6.23;58.43;89.32;0.6054;
HP 310 x 79;299;306;11;11;15;;;;;;99.72;78.3;16270;1088;1207;12.77;36.91;5258;343.6;525.1;7.26;50.57;50.3;1.089;
HP 310 x 93;303;308;13.1;13.1;15;;;;;;118.9;93.3;19630;1296;1447;12.85;43.84;6387;414.7;635.1;7.33;56.87;82.53;1.34;
HP 310 x 110;308;310;15.4;15.5;15;;;;;;140.7;110;23660;1536;1727;12.97;51.63;7707;497.2;763.3;7.4;63.97;133.1;1.646;
HP 310 x 125;312;312;17.4;17.4;15;;;;;;158.7;125;27030;1733;1960;13.05;58.41;8823;565.6;870.2;7.46;69.77;188.2;1.911;
HP 310 x 132;314;313;18.3;18.3;15;;;;;;167.3;132;28680;1827;2072;13.1;61.53;9370;598.7;922.1;7.48;72.47;218.5;2.044;
HP 360 x 108;346;370;12.8;12.8;15;;;;;;137.7;108;30290;1751;1937;14.83;48.42;10810;584.5;891.2;8.86;55.97;88.99;2.999;
HP 360 x 132;351;373;15.6;15.6;15;;;;;;168.2;132;37480;2135;2381;14.93;58.93;13510;724.2;1107;8.96;64.37;158;3.795;
HP 360 x 152;356;376;17.9;17.9;15;;;;;;193.9;152;43880;2465;2765;15.04;67.82;15880;844.5;1293;9.05;71.27;237.1;4.532;
HP 360 x 174;361;378;20.4;20.4;15;;;;;;221.5;174;50840;2816;3180;15.15;77.53;18390;973;1493;9.11;78.77;349.1;5.326;
