IPN 120;120;58;5.1;7.7;5.1;3.1;;;;;14.2;11.1;328;54.7;63.6;4.81;6.63;21.5;7.41;12.4;1.23;28.4;2.71;0.00069;
IPN 140;140;66;5.7;8.6;5.7;3.4;;;;;18.3;14.3;573;81.9;95.4;5.61;8.65;35.2;10.7;17.9;1.4;31.8;4.32;0.00154;
IPN 160;160;74;6.3;9.5;6.3;3.8;;;;;22.8;17.9;935;117;136;6.4;10.83;54.7;14.8;24.9;1.55;35.2;6.57;0.00314;
IPN 180;180;82;6.9;10.4;6.9;4.1;;;;;27.9;21.9;1450;161;187;7.2;13.35;81.3;19.8;33.2;1.71;38.6;9.58;0.00592;
IPN 200;200;90;7.5;11.3;7.5;4.5;;;;;33.4;26.2;2140;214;250;8;16.03;117;26;43.5;1.87;42;13.5;0.0105;
IPN 220;220;98;8.1;12.2;8.1;4.9;;;;;39.5;31.1;3060;278;324;8.8;19.06;162;33.1;55.7;2.02;45.4;18.6;0.0178;
IPN 240;240;106;8.7;13.1;8.7;5.2;;;;;46.1;36.2;4250;354;412;9.59;22.33;221;41.7;70;2.2;48.9;25;0.0287;
IPN 260;260;113;9.4;14.1;9.4;5.6;;;;;53.3;41.9;5740;442;514;10.4;26.08;288;51;85.9;2.32;52.6;33.5;0.0441;
IPN 280;280;119;10.1;15.2;10.1;6.1;;;;;61;47.9;7590;542;632;11.1;30.18;364;61.2;103;2.45;56.4;44.2;0.0646;
IPN 300;300;125;10.8;16.2;10.8;6.5;;;;;69;54.2;9800;653;762;11.9;34.58;451;72.2;121;2.56;60.1;56.8;0.0918;
IPN 320;320;131;11.5;17.3;11.5;6.9;;;;;77.7;61;12510;782;914;12.7;39.26;555;84.7;143;2.67;63.9;72.5;0.129;
IPN 340;340;137;12.2;18.3;12.2;7.3;;;;;86.7;68;15700;923;1080;13.5;44.27;674;98.4;166;2.8;67.6;90.4;0.176;
IPN 360;360;143;13;19.5;13;7.8;;;;;97;76.1;19610;1090;1276;14.2;49.95;818;114;194;2.9;71.8;115;0.24;
IPN 380;380;149;13.7;20.5;13.7;8.2;;;;;107;84;24010;1260;1482;15;55.55;975;131;221;3.02;75.4;141;0.319;
IPN 400;400;155;14.4;21.6;14.4;8.6;;;;;118;92.4;29210;1460;1714;15.7;61.69;1160;149;253;3.13;79.3;170;0.42;
IPN 450;450;170;16.2;24.3;16.2;9.7;;;;;147;115;45850;2040;2400;17.7;77.79;1730;203;345;3.43;88.9;267;0.791;
IPN 500;500;185;18;27;18;10.8;;;;;179;141;68740;2750;3240;19.6;95.6;2480;268;456;3.72;98.5;402;1.4;
IPN 550;550;200;19;30;19;11.9;;;;;212;166;99180;3610;4240;21.6;111.3;3490;349;592;4.02;107.3;544;2.39;
