UC 152 x 152 x 23;152.4;152.2;5.8;6.8;7.6;;;;;;29.25;23;1250;164;182;6.54;9.97;399.9;52.55;80.16;3.7;28.3;4.86;0.02118;
UC 152 x 152 x 30;157.6;152.9;6.5;9.4;7.6;;;;;;38.26;30;1748;221.8;247.7;6.76;11.56;560.5;73.31;111.6;3.83;34.2;10.67;0.03075;
UC 152 x 152 x 37;161.8;154.4;8;11.5;7.6;;;;;;47.11;37;2210;273.2;308.8;6.85;14.27;706.2;91.48;139.6;3.87;39.9;19.49;0.03984;
UC 203 x 203 x 46;203.2;203.6;7.2;11;10.2;;;;;;58.73;46.1;4568;449.6;497.4;8.82;16.98;1548;152.1;230.9;5.13;41.2;22.34;0.1429;
UC 203 x 203 x 52;206.2;204.3;7.9;12.5;10.2;;;;;;66.28;52;5259;510.1;567.4;8.91;18.75;1778;174;264.2;5.18;44.9;31.97;0.1666;
UC 203 x 203 x 60;209.6;205.8;9.4;14.2;10.2;;;;;;76.37;60;6125;584.4;656.1;8.96;22.16;2065;200.6;305.3;5.2;49.8;47.78;0.1969;
UC 203 x 203 x 71;215.8;206.4;10;17.3;10.2;;;;;;90.43;71;7618;706;798.8;9.18;24.27;2537;245.9;373.7;5.3;56.6;80.63;0.2497;
UC 203 x 203 x 86;222.2;209.1;12.7;20.5;10.2;;;;;;109.6;86.1;9449;850.5;976.7;9.28;30.69;3127;299.1;456.2;5.34;65.7;138.3;0.3177;
UC 254 x 254 x 73;254.1;254.6;8.6;14.2;12.7;;;;;;93.1;73.1;11410;897.9;992.1;11.07;25.62;3908;307;465.4;6.48;51.9;57.74;0.562;
UC 254 x 254 x 89;260.3;256.3;10.3;17.3;12.7;;;;;;113.3;88.9;14270;1096;1224;11.22;30.81;4857;379;575.3;6.55;59.8;102.7;0.7166;
UC 254 x 254 x 107;266.7;258.8;12.8;20.5;12.7;;;;;;136.4;107;17510;1313;1484;11.33;38.11;5928;458.1;697;6.59;68.7;173.9;0.8975;
UC 254 x 254 x 132;276.3;261.3;15.3;25.3;12.7;;;;;;168.1;132;22530;1631;1869;11.58;46.21;7531;576.4;878.4;6.69;80.8;321.5;1.185;
UC 254 x 254 x 167;289.1;265.2;19.2;31.7;12.7;;;;;;212.9;167;30000;2075;2424;11.87;58.86;9870;744.3;1137;6.81;97.5;633.8;1.632;
UC 305 x 305 x 97;307.9;305.3;9.9;15.4;15.2;;;;;;123.4;96.9;22250;1445;1592;13.42;35.62;7308;478.7;726.1;7.69;58.5;91.8;1.562;
UC 305 x 305 x 118;314.5;307.4;12;18.7;15.2;;;;;;150.2;118;27670;1760;1958;13.57;43.16;9059;589.4;895.4;7.77;67.2;162.3;1.98;
UC 305 x 305 x 137;320.5;309.2;13.8;21.7;15.2;;;;;;174.4;137;32810;2048;2297;13.72;49.81;10700;692.1;1053;7.83;75;251.1;2.386;
UC 305 x 305 x 158;327.1;311.2;15.8;25;15.2;;;;;;201.4;158;38750;2369;2680;13.87;57.32;12570;807.8;1230;7.9;83.6;381.6;2.865;
UC 305 x 305 x 198;339.9;314.5;19.1;31.4;15.2;;;;;;252.4;198;50900;2995;3440;14.2;70.45;16300;1037;1581;8.04;99.7;741.2;3.873;
UC 305 x 305 x 240;352.5;318.4;23;37.7;15.2;;;;;;305.8;240;64200;3643;4247;14.49;85.85;20310;1276;1951;8.15;116.2;1287;5.025;
UC 305 x 305 x 283;365.3;322.2;26.8;44.1;15.2;;;;;;360.4;283;78870;4318;5105;14.79;101.5;24630;1529;2342;8.27;132.8;2062;6.341;
UC 356 x 368 x 129;355.6;368.6;10.4;17.5;15.2;;;;;;164.3;129;40250;2264;2479;15.65;42.47;14610;792.8;1199;9.43;63.2;152.7;4.174;
UC 356 x 368 x 153;362;370.5;12.3;20.7;15.2;;;;;;194.8;153;48590;2684;2965;15.79;50.26;17550;947.5;1435;9.49;71.5;251.2;5.11;
UC 356 x 368 x 177;368.2;372.6;14.4;23.8;15.2;;;;;;225.5;177;57120;3103;3455;15.91;58.81;20530;1102;1671;9.54;79.8;383.5;6.084;
UC 356 x 368 x 202;374.6;374.7;16.5;27;15.2;;;;;;257.2;202;66260;3538;3972;16.05;67.55;23690;1264;1920;9.6;88.3;561.4;7.151;
UC 356 x 406 x 235;381;394.8;18.4;30.2;15.2;;;;;;299;235;79080;4151;4687;16.25;75.71;30990;1570;2383;10.2;96.6;817.7;9.529;
UC 356 x 406 x 287;393.6;399;22.6;36.5;15.2;;;;;;365.7;287;99880;5075;5812;16.53;93.78;38680;1939;2949;10.28;113.4;1455;12.32;
UC 356 x 406 x 340;406.4;403;26.6;42.9;15.2;;;;;;433;340;122500;6031;6999;16.82;111.7;46850;2325;3544;10.4;130.2;2370;15.46;
UC 356 x 406 x 393;419;407;30.6;49.2;15.2;;;;;;500.6;393;146600;6998;8222;17.11;130.1;55370;2721;4154;10.52;146.8;3592;18.9;
UC 356 x 406 x 467;436.6;412.2;35.8;58;15.2;;;;;;594.9;467;183000;8383;10000;17.54;155.2;67830;3291;5034;10.68;169.6;5896;24.26;
UC 356 x 406 x 551;455.6;418.5;42.1;67.5;15.2;;;;;;701.9;551;226900;9962;12080;17.98;185.9;82670;3951;6058;10.85;194.9;9402;31.05;
UC 356 x 406 x 634;474.6;424;47.6;77;15.2;;;;;;807.5;634;274800;11580;14240;18.45;214.6;98130;4629;7108;11.02;219.4;13990;38.66;
