C 200 x 17.1;203;57;5.6;9.9;;;;;;;21.7;17.1;1340;132;156;7.86;13.23;53.8;12.6;27.6;1.57;29.3;5.86;0.00379;
C 200 x 20.5;203;59;7.7;9.9;;;;;;;26;20.5;1490;147;177;7.57;16.66;62;13.7;30;1.54;27.5;7.6;0.0045;
C 200 x 27.9;203;64;12.4;9.9;;;;;;;35.6;27.9;1820;179;226;7.15;26;81.7;16.4;35.9;1.51;30.6;17.87;0.006;
C 250 x 22.8;254;65;6.1;11.1;;;;;;;28.8;22.8;2770;218;257;9.81;17.62;91.2;18.5;40.3;1.78;32;9.15;0.0104;
C 250 x 30;254;69;9.6;11.1;;;;;;;37.8;30;3260;257;315;9.29;26.13;114;21.2;46.5;1.74;33.6;15.69;0.01309;
C 250 x 37;254;73;13.4;11.1;;;;;;;45.5;37;3790;298;377;8.93;35.17;138;24;52.6;1.7;34.4;28.58;0.01617;
C 250 x 45;254;76;17.1;11.1;;;;;;;56.7;45;4270;336;434;8.68;44.02;158;26.5;57.4;1.67;35.2;48.84;0.01953;
C 310 x 30.8;305;74;7.2;12.7;;;;;;;39.2;30.8;5340;350;415;11.7;24.46;157;27.7;60.2;2;35.1;16.03;0.02481;
C 310 x 37;305;77;9.8;12.7;;;;;;;47.2;37;5970;391;477;11.2;31.26;183;30.5;66;1.97;33.5;21.91;0.02949;
C 310 x 45;305;80;13;12.7;;;;;;;56.9;45;6720;441;551;10.9;42.54;209;33.2;72.1;1.92;41.8;39.19;0.0344;
C 380 x 50.4;381;86;10.2;16.5;;;;;;;64.3;50.4;13100;688;825;14.3;38.72;334;50.5;107;2.28;32.1;38.26;0.08339;
C 380 x 60;381;89;13.2;16.5;;;;;;;75.7;60;14400;756;934;13.8;50.93;379;54.7;115;2.24;38.3;57.31;0.09644;
C 380 x 74;381;94;18.2;16.5;;;;;;;94.8;74;16700;877;1120;13.3;69.7;454;61.5;130;2.19;42.7;107.7;0.1182;
