HD 260 x 54.1;244;260;6.5;9.5;24;;;;;;68.97;54.1;7981;654.1;714.5;10.76;24.75;2788;214.5;327.7;6.36;53.62;30.31;0.3826;
HD 260 x 68.2;250;260;7.5;12.5;24;;;;;;86.82;68.2;10450;836.4;919.8;10.97;28.76;3668;282.1;430.2;6.5;60.62;52.37;0.5164;
HD 260 x 93.0;260;260;10;17.5;24;;;;;;118.4;93;14920;1148;1283;11.22;37.59;5135;395;602.2;6.58;73.12;123.8;0.7537;
HD 260 x 114;268;262;12.5;21.5;24;;;;;;145.7;114;18910;1411;1600;11.39;46.08;6456;492.8;752.5;6.66;83.62;222.4;0.979;
HD 260 x 142;278;265;15.5;26.5;24;;;;;;180.3;142;24330;1750;2015;11.62;56.65;8236;621.6;950.5;6.76;96.62;406.8;1.3;
HD 260 x 172;290;268;18;32.5;24;;;;;;219.6;172;31310;2159;2524;11.94;66.89;10450;779.7;1192;6.9;111.1;719;1.728;
HD 320 x 74.2;301;300;8;11;27;;;;;;94.58;74.2;16450;1093;1196;13.19;35.4;4959;330.6;505.7;7.24;61.63;55.87;1.041;
HD 320 x 97.6;310;300;9;15.5;27;;;;;;124.4;97.6;22930;1479;1628;13.58;41.13;6985;465.7;709.7;7.49;71.63;108;1.512;
HD 320 x 127;320;300;11.5;20.5;27;;;;;;161.3;127;30820;1926;2149;13.82;51.77;9239;615.9;939.1;7.57;84.13;225.1;2.069;
HD 320 x 158;330;303;14.5;25.5;27;;;;;;201.2;158;39640;2403;2718;14.04;64.18;11840;781.7;1194;7.67;97.13;420.5;2.741;
HD 320 x 198;343;306;18;32;27;;;;;;252.3;198;51900;3026;3479;14.34;79.52;15310;1001;1530;7.79;113.6;805.3;3.695;
HD 320 x 245;359;309;21;40;27;;;;;;312;245;68130;3796;4435;14.78;94.85;19710;1276;1951;7.95;132.6;1501;5.004;
HD 320 x 300;375;313;27;48;27;;;;;;382.1;300;86900;4635;5522;15.08;120.47;24600;1572;2414;8.02;154.6;2650;6.558;
HD 360 x 134;356;369;11.2;18;15;;;;;;170.6;134;41510;2332;2562;15.6;45.19;15080;817.3;1237;9.4;64.77;168.8;4.305;
HD 360 x 147;360;370;12.3;19.8;15;;;;;;187.9;147;46290;2572;2838;15.7;49.72;16720;903.9;1369;9.43;69.47;223.7;4.836;
HD 360 x 162;364;371;13.3;21.8;15;;;;;;206.3;162;51540;2832;3139;15.81;53.98;18560;1001;1516;9.49;74.47;295.5;5.432;
HD 360 x 179;368;373;15;23.9;15;;;;;;228.3;179;57440;3122;3482;15.86;60.72;20680;1109;1683;9.52;80.37;393.8;6.119;
HD 360 x 196;372;374;16.4;26.2;15;;;;;;250.3;196;63630;3421;3837;15.94;66.5;22860;1222;1856;9.56;86.37;517.1;6.829;
HD 400 x 187;368;391;15;24;15;;;;;;237.6;187;60180;3271;3642;15.91;60.73;23920;1224;1855;10.03;80.57;414.6;7.074;
HD 400 x 216;375;394;17.3;27.7;15;;;;;;275.5;216;71140;3794;4262;16.07;70.32;28250;1434;2176;10.13;90.27;637.3;8.515;
HD 400 x 237;380;395;18.9;30.2;15;;;;;;300.9;237;78780;4146;4686;16.18;77.1;31040;1572;2387;10.16;96.87;825.5;9.489;
HD 400 x 262;387;398;21.1;33.3;15;;;;;;334.6;262;89410;4620;5260;16.35;86.55;35020;1760;2676;10.23;105.3;1116;10.94;
HD 400 x 287;393;399;22.6;36.6;15;;;;;;366.3;287;99710;5074;5813;16.5;93.46;38780;1944;2957;10.29;113.4;1464;12.3;
HD 400 x 314;399;401;24.9;39.6;15;;;;;;399.2;314;110200;5525;6374;16.62;103.3;42600;2125;3236;10.33;121.7;1870;13.74;
HD 400 x 347;407;404;27.2;43.7;15;;;;;;442;347;124900;6140;7139;16.81;113.9;48090;2380;3629;10.43;132.2;2510;15.85;
HD 400 x 382;416;406;29.8;48;15;;;;;;487.1;382;141300;6794;7965;17.03;126;53620;2641;4031;10.49;143.4;3326;18.13;
HD 400 x 421;425;409;32.8;52.6;15;;;;;;537.1;421;159600;7510;8880;17.24;139.9;60080;2938;4489;10.58;155.6;4398;20.8;
HD 400 x 463;435;412;35.8;57.4;15;;;;;;589.5;463;180200;8283;9878;17.48;154.3;67040;3254;4978;10.66;168.2;5735;23.85;
HD 400 x 509;446;416;39.1;62.7;15;;;;;;649;509;204500;9172;11030;17.75;170.6;75400;3625;5552;10.78;182.1;7513;27.63;
HD 400 x 551;455;418;42;67.6;15;;;;;;701.4;551;226100;9939;12050;17.95;184.9;82490;3947;6051;10.85;194.8;9410;30.87;
HD 400 x 592;465;421;45;72.3;15;;;;;;754.9;592;250200;10760;13140;18.2;200.3;90170;4284;6574;10.93;207.2;11560;34.67;
HD 400 x 634;474;424;47.6;77.1;15;;;;;;808;634;274200;11570;14220;18.42;214;98250;4634;7117;11.03;219.4;14020;38.57;
HD 400 x 677;483;428;51.2;81.5;15;;;;;;863.4;677;299500;12400;15350;18.62;231.9;106900;4994;7680;11.13;231.8;16790;42.92;
HD 400 x 744;498;432;55.6;88.9;15;;;;;;948.1;744;342100;13740;17170;19;256.1;119900;5552;8549;11.25;251;21840;49.98;
HD 400 x 818;514;437;60.5;97;15;;;;;;1043;818;392200;15260;19260;19.39;283.3;135500;6203;9561;11.4;272.1;28510;58.65;
HD 400 x 900;531;442;65.9;106;15;;;;;;1149;900;450200;16960;21620;19.79;313.8;153300;6938;10710;11.55;295.5;37350;68.89;
HD 400 x 990;550;448;71.9;115;15;;;;;;1262;990;518900;18870;24280;20.27;349.2;173400;7739;11960;11.72;319.5;48210;81.53;
HD 400 x 1086;569;454;78;125;15;;;;;;1386;1086;595700;20940;27210;20.73;385.8;196200;8645;13380;11.9;345.6;62290;96.08;
