H 100 x 100 x 6 x 8;100;100;6;8;8;;;;;;21.59;16.9;377.9;75.59;86.39;4.18;7.35;133.6;26.72;41.02;2.49;31.37;4.91;0.00282;
H 125 x 125 x 6.5 x 9;125;125;6.5;9;8;;;;;;30;23.6;839.5;134.3;151.9;5.29;9.53;293.4;46.94;71.72;3.13;33.87;8.1;0.00986;
H 150 x 75 x 5 x 7;150;75;5;7;8;;;;;;17.85;14;666.1;88.8;101.8;6.11;8.82;49.47;13.19;20.77;1.66;28.37;2.9;0.00252;
H 150 x 150 x 7 x 10;150;150;7;10;8;;;;;;39.65;31.1;1623;216.3;243;6.4;11.95;563;75.07;114.4;3.77;36.37;12.7;0.02756;
H 175 x 175 x 7.5 x 11;175;175;7.5;11;13;;;;;;51.43;40.4;2895;330.9;370.3;7.5;16.61;983.8;112.4;171.6;4.37;44.73;21.34;0.06607;
H 200 x 100 x 4.5 x 7;198;99;4.5;7;8;;;;;;22.69;17.8;1543;155.9;175.4;8.25;10.26;113.4;22.92;35.46;2.24;27.87;3.32;0.01032;
H 200 x 100 x 5.5 x 8;200;100;5.5;8;8;;;;;;26.67;20.9;1806;180.6;205.1;8.23;12.39;133.7;26.74;41.64;2.24;30.87;5.17;0.01229;
H 200 x 200 x 8 x 12;200;200;8;12;13;;;;;;63.53;49.9;4716;471.6;525.5;8.62;19.61;1602;160.2;243.8;5.02;47.23;30.16;0.1414;
H 200 x 200 x 12 x 12;200;204;12;12;13;;;;;;71.53;56.2;4982;498.2;565.5;8.35;27.13;1702;166.8;257.3;4.88;51.23;43.59;0.15;
H 250 x 125 x 5 x 8;248;124;5;8;8;;;;;;31.99;25.1;3450;278.2;311.6;10.38;13.83;254.6;41.06;63.19;2.82;30.37;5.8;0.03661;
H 250 x 125 x 6 x 9;250;125;6;9;8;;;;;;36.97;29;3965;317.2;358.1;10.36;16.45;293.5;46.96;72.66;2.82;33.37;8.61;0.04254;
H 250 x 250 x 11 x 11;244;252;11;11;13;;;;;;81.31;63.8;8703;713.3;797.1;10.35;29.94;2937;233.1;357.2;6.01;48.23;40.45;0.3982;
H 250 x 250 x 9 x 14;250;250;9;14;13;;;;;;91.43;71.8;10750;859.9;952.6;10.84;26.33;3648;291.8;443.1;6.32;52.23;56.24;0.5076;
H 250 x 250 x 14 x 14;250;255;14;14;13;;;;;;103.9;81.6;11400;912;1031;10.47;38.13;3876;304;467.5;6.11;57.23;81.12;0.5387;
H 300 x 150 x 5.5 x 8;298;149;5.5;8;13;;;;;;40.8;32;6318;424;475.1;12.44;19.48;442;59.33;91.76;3.29;36.73;8.79;0.09273;
H 300 x 150 x 6.5 x 9;300;150;6.5;9;13;;;;;;46.78;36.7;7209;480.6;542.1;12.41;22.71;507.5;67.67;105.1;3.29;39.73;12.73;0.1072;
H 300 x 300 x 12 x 12;294;302;12;12;13;;;;;;106.3;83.5;16640;1132;1260;12.51;38.41;5514;365.2;558.2;7.2;51.23;60.3;1.095;
H 300 x 300 x 10 x 15;300;300;10;15;13;;;;;;118.4;93;20190;1346;1484;13.05;33.85;6753;450.2;682.9;7.55;55.23;82.87;1.371;
H 300 x 300 x 15 x 15;300;305;15;15;13;;;;;;133.4;104.8;21310;1421;1596;12.64;48.1;7102;465.7;714.4;7.3;60.23;115.7;1.44;
H 350 x 175 x 6 x 9;346;174;6;9;13;;;;;;52.5;41.2;11040;638;712;14.51;24.01;791;91;140.1;3.88;39.23;13.28;0.2244;
H 350 x 175 x 7 x 11;350;175;7;11;13;;;;;;62.9;49.4;13500;771;864;14.65;28.04;984;112.5;173.4;3.96;44.23;22.47;0.2823;
H 350 x 350 x 13 x 13;338;351;13;13;13;;;;;;133.3;104.6;27740;1642;1822;14.43;47.08;9377;534.3;815.4;8.39;54.23;86.18;2.474;
