HP 200 x 43;200;205;9;9;10;;;;;;54.14;42.5;3888;388.8;434.5;8.47;19.85;1294;126.2;193.4;4.89;38.72;17.68;0.1179;
HP 200 x 53;204;207;11.3;11.3;10;;;;;;68.14;53.5;4977;488;551.3;8.55;24.89;1673;161.7;248.6;4.96;45.62;34.2;0.1551;
HP 220 x 57;210;224.5;11;11;18;;;;;;72.85;57.2;5729;545.6;613.7;8.87;28.63;2079;185.2;285.5;5.34;54.09;44.18;0.2054;
HP 260 x 75;249;265;12;12;24;;;;;;95.54;75;10650;855.1;958.5;10.56;39.14;3733;281.7;435.1;6.25;64.12;79.29;0.5226;
HP 260 x 87;253;267;14;14;24;;;;;;111.2;87.3;12590;994.9;1124;10.64;45.12;4455;333.7;516.2;6.33;70.12;115.7;0.6342;
HP 305 x 79;299.3;306.4;11;11;15.2;;;;;;99.9;78.4;16331;1091;1210;12.79;37.04;5278;344.5;526.5;7.27;50.81;50.64;1.096;
HP 305 x 88;301.7;307.8;12.4;12.3;15.2;;;;;;112.1;88;18420;1221;1360;12.82;41.61;5984;388.9;595.2;7.31;54.81;70.05;1.252;
HP 305 x 95;303.7;308.7;13.3;13.3;15.2;;;;;;121;94.9;20040;1320;1474;12.87;44.65;6529;423;648;7.35;57.71;86.69;1.375;
HP 305 x 110;307.9;310.7;15.3;15.4;15.2;;;;;;140.1;110;23560;1531;1720;12.97;51.42;7709;496.2;761.7;7.4;63.91;131.4;1.647;
HP 305 x 126;312.3;312.9;17.5;17.6;15.2;;;;;;160.6;126;27410;1755;1986;13.06;58.91;9002;575.4;885.2;7.49;70.51;194.3;1.951;
HP 305 x 149;318.5;316;20.6;20.7;15.2;;;;;;189.9;149;33070;2076;2370;13.2;69.62;10910;690.5;1066;7.58;79.81;314.2;2.414;
HP 305 x 180;326.7;319.7;24.8;24.8;15.2;;;;;;229.3;180;40970;2508;2897;13.37;84.39;13550;847.4;1313;7.69;92.21;541.7;3.077;
HP 305 x 186;328.3;320.9;25.5;25.6;15.2;;;;;;236.9;186;42610;2596;3003;13.41;86.95;14140;881.5;1366;7.73;94.51;593.7;3.23;
HP 305 x 223;337.9;325.7;30.3;30.4;15.2;;;;;;284;223;52700;3119;3653;13.62;104.4;17580;1079;1680;7.87;108.9;998.4;4.138;
HP 320 x 88;303;304;12;12;27;;;;;;112.7;88.5;18740;1237;1379;12.9;47.66;5634;370.6;572.1;7.07;67.6;99.04;1.19;
HP 320 x 103;307;306;14;14;27;;;;;;131;103;22050;1437;1611;12.97;54.84;6704;438.2;677.3;7.15;73.6;142.3;1.435;
HP 320 x 117;311;308;16;16;27;;;;;;149.5;117;25480;1638;1849;13.06;62.1;7815;507.5;785.5;7.23;79.6;198.5;1.695;
HP 320 x 147;319;312;20;20;27;;;;;;186.9;147;32670;2048;2338;13.22;76.86;10160;651.3;1011;7.37;91.6;357.1;2.263;
HP 320 x 184;329;317;25;25;27;;;;;;234.5;184;42340;2574;2979;13.44;95.76;13330;841.2;1311;7.54;106.6;662;3.067;
HP 360 x 84;340;367;10;10;15.2;;;;;;107.4;84.3;23210;1365;1498;14.7;38.02;8243;449.2;683.1;8.76;47.81;44.41;2.243;
HP 360 x 109;346.4;371;12.8;12.9;15.2;;;;;;138.7;109;30630;1769;1956;14.86;48.59;10990;592.3;902.9;8.9;56.41;90.73;3.053;
HP 360 x 133;352;373.8;15.6;15.7;15.2;;;;;;169.4;133;37980;2158;2406;14.98;59.22;13680;731.9;1119;8.99;64.81;160.7;3.864;
HP 360 x 152;356.4;376;17.8;17.9;15.2;;;;;;193.7;152;43970;2468;2767;15.07;67.68;15880;844.5;1293;9.05;71.41;236.4;4.543;
HP 360 x 174;361.4;378.5;20.3;20.4;15.2;;;;;;221.5;174;51010;2823;3186;15.18;77.41;18460;975.6;1497;9.13;78.91;348.5;5.36;
HP 360 x 180;362.9;378.8;21.1;21.1;15.2;;;;;;229.5;180;53040;2923;3306;15.2;80.52;19140;1011;1552;9.13;81.11;387.2;5.583;
HP 400 x 122;348;390;14;14;15;;;;;;155.9;122;34770;1998;2212;14.93;52.89;13850;710.3;1082;9.42;59.57;118.7;3.86;
HP 400 x 140;352;392;16;16;15;;;;;;178.6;140;40270;2288;2547;15.02;60.49;16080;820.2;1252;9.49;65.57;175.3;4.534;
HP 400 x 158;356;394;18;18;15;;;;;;201.4;158;45940;2581;2888;15.1;68.17;18370;932.4;1425;9.55;71.57;248;5.241;
HP 400 x 176;360;396;20;20;15;;;;;;224.3;176;51770;2876;3235;15.19;75.93;20720;1047;1603;9.61;77.57;338.9;5.982;
HP 400 x 194;364;398;22;22;15;;;;;;247.5;194;57760;3174;3588;15.28;83.77;23150;1163;1784;9.67;83.57;450.2;6.759;
HP 400 x 213;368;400;24;24;15;;;;;;270.7;213;63920;3474;3947;15.37;91.69;25640;1282;1969;9.73;89.57;584.2;7.574;
HP 400 x 231;372;402;26;26;15;;;;;;294.2;231;70260;3777;4312;15.45;99.69;28200;1403;2158;9.79;95.57;743.1;8.425;
