IPE A 100;98;55;3.6;4.7;7;;;;;;8.78;6.9;141.2;28.81;32.98;4.01;4.44;13.12;4.77;7.54;1.22;21.2;0.77;0.00028;
IPE 100;100;55;4.1;5.7;7;;;;;;10.32;8.1;171;34.2;39.41;4.07;5.08;15.92;5.79;9.15;1.24;23.7;1.2;0.00035;
IPE A 120;117.6;64;3.8;5.1;7;;;;;;11.03;8.7;257.4;43.77;49.87;4.83;5.41;22.39;7;10.98;1.42;22.2;1.04;0.00071;
IPE 120;120;64;4.4;6.3;7;;;;;;13.21;10.4;317.8;52.96;60.73;4.9;6.31;27.67;8.65;13.58;1.45;25.2;1.74;0.00089;
IPE A 140;137.4;73;3.8;5.6;7;;;;;;13.39;10.5;434.9;63.3;71.6;5.7;6.21;36.42;9.98;15.52;1.65;23.2;1.36;0.00158;
IPE 140;140;73;4.7;6.9;7;;;;;;16.43;12.9;541.2;77.32;88.34;5.74;7.64;44.92;12.31;19.25;1.65;26.7;2.45;0.00198;
IPE A 160;157;82;4;5.9;9;;;;;;16.18;12.7;689.3;87.81;99.09;6.53;7.8;54.43;13.27;20.7;1.83;26.34;1.96;0.00309;
IPE 160;160;82;5;7.4;9;;;;;;20.09;15.8;869.3;108.7;123.9;6.58;9.66;68.31;16.66;26.1;1.84;30.34;3.6;0.00396;
IPE A 180;177;91;4.3;6.5;9;;;;;;19.58;15.4;1063;120.1;135.3;7.37;9.2;81.89;18;27.96;2.05;27.84;2.7;0.00593;
IPE 180;180;91;5.3;8;9;;;;;;23.95;18.8;1317;146.3;166.4;7.42;11.25;100.9;22.16;34.6;2.05;31.84;4.79;0.00743;
IPE O 180;182;92;6;9;9;;;;;;27.1;21.3;1505;165.4;189.1;7.45;12.7;117.3;25.5;39.91;2.08;34.54;6.76;0.00874;
IPE A 200;197;100;4.5;7;12;;;;;;23.47;18.4;1591;161.6;181.7;8.23;11.47;117.2;23.43;36.54;2.23;32.56;4.11;0.01053;
IPE 200;200;100;5.6;8.5;12;;;;;;28.48;22.4;1943;194.3;220.6;8.26;14;142.4;28.47;44.61;2.24;36.66;6.98;0.01299;
IPE O 200;202;102;6.2;9.5;12;;;;;;31.96;25.1;2211;218.9;249.4;8.32;15.45;168.9;33.11;51.89;2.3;39.26;9.45;0.01557;
IPE A 220;217;110;5;7.7;12;;;;;;28.26;22.2;2317;213.5;240.2;9.05;13.55;171.4;31.17;48.49;2.46;34.46;5.69;0.01871;
IPE 220;220;110;5.9;9.2;12;;;;;;33.37;26.2;2772;252;285.4;9.11;15.88;204.9;37.25;58.11;2.48;38.36;9.07;0.02267;
IPE O 220;222;112;6.6;10.2;12;;;;;;37.39;29.4;3134;282.3;321.1;9.16;17.66;239.8;42.83;66.91;2.53;41.06;12.27;0.02679;
IPE A 240;237;120;5.2;8.3;15;;;;;;33.31;26.2;3290;277.7;311.6;9.94;16.31;240.1;40.02;62.4;2.68;39.37;8.35;0.03126;
IPE 240;240;120;6.2;9.8;15;;;;;;39.12;30.7;3892;324.3;366.6;9.97;19.14;283.6;47.27;73.92;2.69;43.37;12.88;0.03739;
IPE O 240;242;122;7;10.8;15;;;;;;43.71;34.3;4369;361.1;410.3;10;21.36;328.5;53.86;84.4;2.74;46.17;17.18;0.04368;
IPE A 270;267;135;5.5;8.7;15;;;;;;39.15;30.7;4917;368.3;412.5;11.21;18.75;358;53.03;82.34;3.02;40.47;10.3;0.05951;
IPE 270;270;135;6.6;10.2;15;;;;;;45.95;36.1;5790;428.9;484;11.23;22.14;419.9;62.2;96.95;3.02;44.57;15.94;0.07058;
IPE O 270;274;136;7.5;12.2;15;;;;;;53.84;42.3;6947;507.1;574.6;11.36;25.23;513.5;75.51;117.7;3.09;49.47;24.9;0.08764;
