UB 152 x 89 x 16;152.4;88.7;4.5;7.7;7.6;;;;;;20.32;16;834;109.5;123.3;6.41;8.18;89.75;20.24;31.18;2.1;28.8;3.55;0.00469;
UB 178 x 102 x 19;177.8;101.2;4.8;7.9;7.6;;;;;;24.26;19;1356;152.5;171.3;7.48;9.85;136.7;27.02;41.59;2.37;29.5;4.42;0.00985;
UB 203 x 102 x 23;203.2;101.8;5.4;9.3;7.6;;;;;;29.4;23.1;2105;207.2;234.1;8.46;12.38;163.9;32.19;49.75;2.36;32.9;7.02;0.01537;
UB 203 x 133 x 25;203.2;133.2;5.7;7.8;7.6;;;;;;31.97;25.1;2340;230.3;257.7;8.56;12.82;307.6;46.19;70.94;3.1;30.2;6.1;0.02933;
UB 203 x 133 x 30;206.8;133.9;6.4;9.6;7.6;;;;;;38.21;30;2896;280;314.4;8.71;14.58;384.7;57.45;88.22;3.17;34.5;10.43;0.03734;
UB 254 x 102 x 22;254;101.6;5.7;6.8;7.6;;;;;;28.02;22;2841;223.7;259;10.07;15.62;119.3;23.49;37.27;2.06;28.2;4.35;0.01816;
UB 254 x 102 x 25;257.2;101.9;6;8.4;7.6;;;;;;32.04;25.2;3415;265.5;305.5;10.32;16.7;148.7;29.18;46.01;2.15;31.7;6.56;0.02292;
UB 254 x 102 x 28;260.4;102.2;6.3;10;7.6;;;;;;36.08;28.3;4005;307.6;352.8;10.54;17.79;178.5;34.94;54.85;2.22;35.2;9.66;0.02789;
UB 254 x 146 x 31;251.4;146.1;6;8.6;7.6;;;;;;39.68;31.1;4413;351.1;393.1;10.55;16.37;447.5;61.26;94.13;3.36;32.1;8.68;0.06588;
UB 254 x 146 x 37;256;146.4;6.3;10.9;7.6;;;;;;47.17;37;5537;432.6;483.2;10.83;17.59;570.6;77.96;119.4;3.48;37;15.37;0.08561;
UB 254 x 146 x 43;259.6;147.3;7.2;12.7;7.6;;;;;;54.77;43;6544;504.1;566.3;10.93;20.2;677.4;91.97;141.1;3.52;41.5;23.97;0.1031;
UB 305 x 102 x 25;305.1;101.6;5.8;7;7.6;;;;;;31.6;24.8;4455;292.1;342;11.87;18.85;122.9;24.2;38.81;1.97;28.7;4.98;0.02718;
UB 305 x 102 x 28;308.7;101.8;6;8.8;7.6;;;;;;35.88;28.2;5366;347.6;402.9;12.23;19.83;155.4;30.53;48.45;2.08;32.5;7.51;0.03479;
UB 305 x 102 x 33;312.7;102.4;6.6;10.8;7.6;;;;;;41.83;32.8;6501;415.8;480.8;12.47;22.06;194.1;37.91;60.04;2.15;37.1;12.29;0.04404;
UB 305 x 165 x 40;303.4;165;6;10.2;8.9;;;;;;51.32;40.3;8503;560.5;623.1;12.87;20.09;764.4;92.65;141.7;3.86;36.83;14.74;0.1641;
UB 305 x 165 x 46;306.6;165.7;6.7;11.8;8.9;;;;;;58.75;46.1;9899;645.7;720;12.98;22.53;895.7;108.1;165.5;3.9;40.73;22.2;0.1944;
UB 305 x 165 x 54;310.4;166.9;7.9;13.7;8.9;;;;;;68.77;54;11700;753.6;846.1;13.04;26.56;1063;127.4;195.6;3.93;45.73;34.9;0.2336;
UB 356 x 127 x 33;349;125.4;6;8.5;10.2;;;;;;42.13;33.1;8249;472.7;542.9;13.99;23.06;280.2;44.69;70.29;2.58;34.95;8.97;0.08097;
UB 356 x 127 x 39;353.4;126;6.6;10.7;10.2;;;;;;49.77;39.1;10172;575.6;658.5;14.3;25.69;357.8;56.8;89.05;2.68;39.95;15.15;0.1047;
UB 356 x 171 x 45;351.4;171.1;7;9.7;10.2;;;;;;57.33;45;12070;686.7;774.6;14.51;26.79;811.1;94.81;146.6;3.76;38.35;16.16;0.2364;
UB 356 x 171 x 51;355;171.5;7.4;11.5;10.2;;;;;;64.91;51;14140;796.4;896;14.76;28.66;968.3;112.9;174.2;3.86;42.35;24;0.2852;
UB 356 x 171 x 57;358;172.2;8.1;13;10.2;;;;;;72.56;57;16040;896;1010;14.87;31.49;1108;128.7;198.8;3.91;46.05;33.59;0.3292;
UB 356 x 171 x 67;363.4;173.2;9.1;15.7;10.2;;;;;;85.49;67.1;19460;1071;1211;15.09;35.74;1362;157.3;243;3.99;52.45;55.9;0.4109;
UB 406 x 140 x 39;398;141.8;6.4;8.6;10.2;;;;;;49.65;39;12508;628.6;723.7;15.87;27.57;409.8;57.8;90.85;2.87;35.55;10.99;0.1549;
UB 406 x 140 x 46;403.2;142.2;6.8;11.2;10.2;;;;;;58.64;46;15685;778;887.6;16.35;29.83;538.1;75.68;118.1;3.03;41.15;19.07;0.2062;
UB 406 x 178 x 54;402.6;177.7;7.7;10.9;10.2;;;;;;68.95;54.1;18720;930;1055;16.48;33.28;1021;114.9;178.3;3.85;41.45;23.5;0.391;
UB 406 x 178 x 60;406.4;177.9;7.9;12.8;10.2;;;;;;76.52;60.1;21600;1063;1199;16.8;34.6;1203;135.3;209;3.97;45.45;33.49;0.4652;
UB 406 x 178 x 67;409.4;178.8;8.8;14.3;10.2;;;;;;85.54;67.1;24330;1189;1346;16.87;38.58;1365;152.7;236.6;3.99;49.35;46.4;0.5317;
UB 406 x 178 x 74;412.8;179.5;9.5;16;10.2;;;;;;94.51;74.2;27310;1323;1501;17;41.85;1545;172.2;267;4.04;53.45;63.1;0.6071;
UB 457 x 152 x 52;449.8;152.4;7.6;10.9;10.2;;;;;;66.64;52.3;21370;950;1096;17.91;36.47;645;84.64;133.3;3.11;41.35;21.71;0.3097;
UB 457 x 152 x 60;454.6;152.9;8.1;13.3;10.2;;;;;;76.23;59.8;25500;1122;1287;18.29;39.35;794.6;103.9;163.1;3.23;46.65;34.02;0.3858;
UB 457 x 152 x 67;458;153.8;9;15;10.2;;;;;;85.55;67.2;28930;1263;1453;18.39;43.82;912.6;118.7;186.7;3.27;50.95;47.95;0.4462;
UB 457 x 152 x 74;462;154.4;9.6;17;10.2;;;;;;94.48;74.2;32670;1414;1627;18.6;47.08;1047;135.6;213.1;3.33;55.55;66.18;0.5163;
UB 457 x 152 x 82;465.8;155.3;10.5;18.9;10.2;;;;;;104.5;82.1;36590;1571;1811;18.71;51.67;1185;152.5;240.4;3.37;60.25;89.65;0.5891;
UB 457 x 191 x 67;453.4;189.9;8.5;12.7;10.2;;;;;;85.51;67.1;29380;1296;1471;18.54;40.94;1452;152.9;237.3;4.12;45.85;37.54;0.7038;
UB 457 x 191 x 74;457;190.4;9;14.5;10.2;;;;;;94.63;74.3;33320;1458;1653;18.76;43.68;1671;175.5;272.1;4.2;49.95;52.14;0.8166;
UB 457 x 191 x 82;460;191.3;9.9;16;10.2;;;;;;104.5;82;37050;1611;1831;18.83;48.11;1871;195.6;303.9;4.23;53.85;69.72;0.9201;
UB 457 x 191 x 89;463.4;191.9;10.5;17.7;10.2;;;;;;113.8;89.3;41020;1770;2014;18.99;51.3;2089;217.8;338.4;4.29;57.85;91.26;1.035;
UB 457 x 191 x 98;467.2;192.8;11.4;19.6;10.2;;;;;;125.3;98.3;45730;1957;2232;19.11;55.92;2347;243.5;378.9;4.33;62.55;122.1;1.173;
UB 533 x 210 x 82;528.3;208.8;9.6;13.2;12.7;;;;;;104.7;82.2;47540;1800;2059;21.31;54.19;2007;192.3;300.4;4.38;50.88;52.54;1.328;
UB 533 x 210 x 92;533.1;209.3;10.1;15.6;12.7;;;;;;117.4;92.1;55230;2072;2360;21.69;57.61;2389;228.3;355.6;4.51;56.18;76.34;1.596;
UB 533 x 210 x 101;536.7;210;10.8;17.4;12.7;;;;;;128.7;101;61520;2292;2612;21.87;61.89;2692;256.4;399.4;4.57;60.48;101.6;1.811;
UB 533 x 210 x 109;539.5;210.8;11.6;18.8;12.7;;;;;;138.9;109;66820;2477;2828;21.94;66.56;2943;279.2;435.8;4.6;64.08;127.3;1.989;
UB 533 x 210 x 122;544.5;211.9;12.7;21.3;12.7;;;;;;155.4;122;76040;2793;3196;22.12;73.24;3388;319.7;499.7;4.67;70.18;179.6;2.312;
UB 610 x 229 x 101;602.6;227.6;10.5;14.8;12.7;;;;;;128.9;101;75780;2515;2881;24.24;66.86;2915;256.1;400.2;4.75;54.98;78.16;2.512;
UB 610 x 229 x 113;607.6;228.2;11.1;17.3;12.7;;;;;;143.9;113;87320;2874;3281;24.63;71.3;3434;301;469.3;4.88;60.58;112.3;2.985;
UB 610 x 229 x 125;612.2;229;11.9;19.6;12.7;;;;;;159.3;125;98610;3221;3676;24.88;76.88;3932;343.4;535.4;4.97;65.98;155.2;3.444;
UB 610 x 229 x 140;617.2;230.2;13.1;22.1;12.7;;;;;;178.2;140;111800;3622;4142;25.05;84.96;4505;391.4;611.4;5.03;72.18;217.8;3.978;
UB 610 x 305 x 149;612.4;304.8;11.8;19.7;16.5;;;;;;190;149;125900;4111;4594;25.74;78.78;9308;610.7;937.3;7;70.53;200.4;8.165;
