UBP 203 x 203 x 45;200.2;205.9;9.5;9.5;10.2;;;;;;57.23;44.9;4100;409.6;458.9;8.46;20.95;1384;134.4;206.1;4.92;40.45;20.8;0.1257;
UBP 203 x 203 x 54;204;207.7;11.3;11.4;10.2;;;;;;68.72;53.9;5027;492.8;556.7;8.55;24.98;1705;164.2;252.4;4.98;46.05;34.97;0.1579;
UBP 254 x 254 x 63;247.1;256.6;10.6;10.7;12.7;;;;;;80.22;63;8860;717.2;799.3;10.51;29.16;3016;235.1;359.7;6.13;46.88;37.2;0.421;
UBP 254 x 254 x 71;249.7;258;12;12;12.7;;;;;;90.39;71;10070;806.7;904;10.56;32.96;3439;266.6;408.7;6.17;50.88;52.27;0.4852;
UBP 254 x 254 x 85;254.3;260.4;14.4;14.3;12.7;;;;;;108.4;85.1;12280;966.1;1092;10.65;39.58;4215;323.8;497.9;6.24;57.88;87.82;0.606;
UBP 305 x 305 x 79;299.3;306.4;11;11.1;15.2;;;;;;100.5;78.9;16440;1099;1218;12.79;37.06;5326;347.7;531.2;7.28;51.01;51.37;1.105;
UBP 305 x 305 x 88;301.7;307.8;12.4;12.3;15.2;;;;;;112.1;88;18420;1221;1360;12.82;41.61;5984;388.9;595.2;7.31;54.81;70.05;1.252;
UBP 305 x 305 x 95;303.7;308.7;13.3;13.3;15.2;;;;;;120.9;94.9;20040;1320;1474;12.87;44.65;6529;423;648;7.35;57.71;86.69;1.375;
UBP 305 x 305 x 110;307.9;310.7;15.3;15.4;15.2;;;;;;140.1;110;23560;1531;1720;12.97;51.42;7709;496.2;761.7;7.42;63.91;131.4;1.647;
UBP 305 x 305 x 126;312.3;312.9;17.5;17.6;15.2;;;;;;160.6;126;27410;1755;1986;13.06;58.91;9002;575.4;885.2;7.49;70.51;194.3;1.951;
UBP 305 x 305 x 149;318.5;316;20.6;20.7;15.2;;;;;;189.9;149;33070;2076;2370;13.2;69.62;10910;690.5;1066;7.58;79.81;314.2;2.414;
UBP 305 x 305 x 186;328.3;320.9;25.5;25.6;15.2;;;;;;236.9;186;42610;2596;3003;13.41;86.95;14140;881.5;1366;7.73;94.51;593.7;3.23;
UBP 305 x 305 x 223;337.9;325.7;30.3;30.4;15.2;;;;;;284;223;52700;3119;3653;13.62;104.4;17580;1079;1680;7.87;108.9;998.4;4.138;
UBP 356 x 368 x 109;346.4;371;12.8;12.9;15.2;;;;;;138.7;109;30630;1769;1956;14.86;48.59;10990;592.3;902.9;8.9;56.41;90.73;3.053;
UBP 356 x 368 x 133;352;373.8;15.6;15.7;15.2;;;;;;169.4;133;37980;2158;2406;14.98;59.22;13680;731.9;1119;8.99;64.81;160.7;3.864;
UBP 356 x 368 x 152;356.4;376;17.8;17.9;15.2;;;;;;193.7;152;43970;2468;2767;15.07;67.68;15880;844.5;1293;9.05;71.41;236.4;4.543;
UBP 356 x 368 x 174;361.4;378.5;20.3;20.4;15.2;;;;;;221.5;174;51010;2823;3186;15.18;77.41;18460;975.6;1497;9.13;78.91;348.5;5.36;
