UPN 100;100;50;6;8.5;8.5;4.5;;;;;13.5;10.6;206;41.2;49;3.91;6.46;29.3;8.49;16.2;1.47;20.3;2.81;0.00041;
UPN 120;120;55;7;9;9;4.5;;;;;17;13.4;364;60.7;72.6;4.62;8.8;43.2;11.1;21.2;1.59;22.2;4.15;0.0009;
UPN 140;140;60;7;10;10;5;;;;;20.4;16;605;86.4;103;5.45;10.41;62.7;14.8;28.3;1.75;23.9;5.68;0.0018;
UPN 160;160;65;7.5;10.5;10.5;5.5;;;;;24;18.8;925;116;138;6.21;12.6;85.3;18.3;35.2;1.89;25.3;7.39;0.00326;
UPN 180;180;70;8;11;11;5.5;;;;;28;22;1350;150;179;6.95;15.09;114;22.4;42.9;2.02;26.7;9.55;0.00557;
UPN 200;200;75;8.5;11.5;11.5;6;;;;;32.2;25.3;1910;191;228;7.7;17.71;148;27;51.8;2.14;28.1;11.9;0.00907;
UPN 220;220;80;9;12.5;12.5;6.5;;;;;37.4;29.4;2690;245;292;8.48;20.62;197;33.6;64.1;2.3;30.3;16;0.0146;
UPN 240;240;85;9.5;13;13;6.5;;;;;42.3;33.2;3600;300;358;9.22;23.71;248;39.6;75.7;2.42;31.7;19.7;0.0221;
UPN 260;260;90;10;14;14;7;;;;;48.3;37.9;4820;371;442;9.99;27.12;317;47.7;91.6;2.56;33.9;25.5;0.0333;
UPN 280;280;95;10;15;15;7.5;;;;;53.3;41.8;6280;448;532;10.9;29.28;399;57.2;109;2.74;35.6;31;0.0485;
UPN 300;300;100;10;16;16;8;;;;;58.8;46.2;8030;535;632;11.7;31.77;495;67.8;130;2.9;37.3;37.4;0.0691;
UPN 320;320;100;14;17.5;17.5;8.75;;;;;75.8;59.5;10870;679;826;12.1;47.11;597;80.6;152;2.81;43;66.7;0.0961;
UPN 350;350;100;14;16;16;8;;;;;77.3;60.6;12840;734;918;12.9;50.84;570;75;143;2.72;40.7;61.2;0.114;
UPN 380;380;102;13.5;16;16;8;;;;;80.4;63.1;15760;829;1014;14;53.23;615;78.7;148;2.77;40.3;59.1;0.146;
UPN 400;400;110;14;18;18;9;;;;;91.5;71.8;20350;1020;1240;14.9;58.55;846;102;190;3.04;44;81.6;0.221;
