W 100 x 100 x 19.3;106;103;7.1;8.8;6;;;;;;24.71;19.3;475.9;89.79;103.3;4.39;8.27;160.6;31.19;47.94;2.55;31.73;6.52;0.00379;
W 130 x 130 x 23.8;127;127;6.1;9.1;8;;;;;;30.3;23.8;885.5;139.5;157.2;5.41;9.2;311;48.98;74.66;3.2;33.67;8.1;0.0108;
W 130 x 130 x 28.1;131;128;6.9;10.9;8;;;;;;35.94;28.1;1099;167.7;190.9;5.53;10.53;381.4;59.6;90.86;3.26;38.03;13.33;0.01374;
W 150 x 100 x 13.5;150;100;4.3;5.5;6;;;;;;17.31;13.5;685.5;91.4;102.4;6.29;7.21;91.8;18.36;28.26;2.3;22.35;1.74;0.00479;
W 150 x 100 x 18.0;153;102;5.8;7.1;6;;;;;;23.28;18;915.9;122.1;138.6;6.33;9.69;125.9;25.37;39.29;2.36;27.47;3.86;0.00668;
W 150 x 100 x 24.0;160;102;6.6;10.3;6;;;;;;30.52;24;1342;167.8;191.5;6.63;11.43;182.6;35.8;55.24;2.45;34.23;9.35;0.01021;
W 150 x 150 x 22.5;152;152;5.8;6.6;6;;;;;;28.48;22.5;1206;158.6;176.1;6.51;9.59;386.6;50.87;77.56;3.68;26.07;4.34;0.02042;
W 150 x 150 x 29.8;157;153;6.6;9.3;6;;;;;;37.9;29.8;1714;218.4;243.9;6.73;11.17;555.5;72.62;110.5;3.83;32.23;10.16;0.03028;
W 150 x 150 x 37.1;162;154;8.1;11.6;6;;;;;;47.32;37.1;2220;274.1;309.9;6.85;13.93;706.8;91.79;140;3.86;38.36;19.51;0.03993;
W 200 x 100 x 15.0;200;100;4.3;5.2;8;;;;;;19.14;15;1280;128;145.2;8.18;9.8;86.89;17.38;27.1;2.13;24.09;1.93;0.00822;
W 200 x 100 x 19.3;203;102;5.8;6.5;8;;;;;;24.91;19.3;1662;163.7;188.1;8.17;13.06;115.4;22.63;35.69;2.15;28.21;3.99;0.0111;
W 200 x 100 x 22.5;206;102;6.2;8;8;;;;;;28.69;22.5;2004;194.5;222.8;8.36;14.14;142;27.85;43.72;2.22;31.59;5.97;0.01387;
W 200 x 135 x 21;203;133;5;6.4;8;;;;;;27.08;21;1980;195.1;217.7;8.55;11.4;251.3;37.78;58.03;3.05;27.17;3.74;0.02425;
W 200 x 135 x 26.6;207;133;5.8;8.4;8;;;;;;34;26.6;2587;250;279.8;8.72;13.49;329.8;49.6;76.17;3.11;32.01;7.35;0.03248;
W 200 x 135 x 31.3;210;134;6.4;10.2;8;;;;;;39.92;31.3;3139;298.9;335.3;8.87;14.87;409.6;61.13;93.76;3.2;36.12;12.04;0.04082;
